country,latitude,longitude,alcconsumption,incomeperperson,suicideper100th,employrate,urbanrate,
Afghanistan,33.93911,67.709953,0.03,,6.6843853,55.70000076,24.04,0
Albania,41.153332,20.168331,7.29,1914.996551,7.699329853,51.40000153,46.72,1
Algeria,28.033886,1.659626,0.69,2231.993335,4.848769665,50.5,65.22,2
Andorra,42.546245,1.601554,10.17,21943.3399,5.362178802,,88.92,
Angola,-11.202692,17.873887,5.57,1381.004268,14.55467701,75.69999695,56.7,4
Antigua and Barbuda,17.060816,-61.796428,8.17,11894.46407,2.1618433,,30.46,5
Argentina,-38.416097,-63.616672,9.35,10749.41924,7.765584,58.40000153,92,6
Armenia,40.069099,45.038189,13.66,1326.741757,3.741587877,40.09999847,63.86,7
Australia,-25.274398,133.775136,10.21,25249.98606,8.470030125,61.5,88.74,9
Austria,47.516231,14.550072,12.4,26692.98411,13.09437,57.09999847,67.16,10
Azerbaijan,40.143105,47.576927,13.34,2344.896916,1.380964637,60.90000153,51.92,11
Bahamas,25.03428,-77.39628,8.65,19630.54055,3.374415874,66.59999847,83.7,12
Bahrain,25.930414,50.637772,4.19,12505.21254,4.414990425,60.40000153,88.52,13
Bangladesh,23.684994,90.356331,0.17,558.0628766,14.53835678,68.09999847,27.14,14
Barbados,13.193887,-59.543198,6.42,9243.587053,3.108602524,66.90000153,39.84,15
Belarus,53.709807,27.953389,18.85,2737.670379,26.8746903,53.40000153,73.46,16
Belgium,50.503887,4.469936,10.41,24496.04826,15.95385,48.59999847,97.36,17
Belize,17.189877,-88.49765,5.92,3545.652174,9.388795853,56.79999924,51.7,18
Benin,9.30769,2.315834,2.08,377.0396995,6.057739735,71.59999847,41.2,19
Bhutan,27.514162,90.433601,0.54,1324.194906,15.54260254,58.40000153,34.48,21
Bolivia,-16.290154,-63.588653,5.78,1232.794137,2.034178495,70.40000153,65.58,22
Bosnia and Herzegovina,43.915886,17.679076,9.6,2183.344867,11.8367157,41.20000076,47.44,23
Botswana,-22.328474,24.684866,6.97,4189.436587,11.21397018,46,59.58,24
Brazil,-14.235004,-51.92528,10.08,4699.411262,4.777007,64.5,85.58,25
Brunei,4.535277,114.727669,1.86,17092.46,1.370001554,63.79999924,74.82,26
Bulgaria,42.733883,25.48583,11.4,2549.558474,9.216544,47.29999924,71.1,27
Burkina Faso,12.238333,-1.561593,7.32,276.200413,8.204221725,81.30000305,19.56,28
Burundi,-3.373056,29.918886,9.65,115.3059959,14.68093586,83.19999695,10.4,29
Cambodia,12.565679,104.990963,4.71,557.9475126,4.961071491,78.90000153,21.56,30
Cameroon,7.369722,12.354722,7.9,713.6393027,7.214220524,59.09999847,56.76,31
Canada,56.130366,-106.346771,10.2,25575.35262,10.10099,63.5,80.4,32
Cape Verde,16.002082,-24.013197,4.98,1959.844472,5.633333683,55.90000153,59.62,33
Central African Rep.,6.611111,20.939444,3.17,239.5187494,13.54841995,71.30000305,38.58,35
Chad,15.454166,18.732207,4.39,275.8842865,8.283070564,68.90000153,26.68,36
Chile,-35.675147,-71.542969,8.81,6334.105194,10.17187,51,88.44,37
China,35.86166,104.195397,5.56,2425.471293,16.91324806,72.80000305,43.1,38
Colombia,4.570868,-74.297333,6.59,3233.42378,4.907702,63.20000076,74.5,39
Comoros,-11.875001,43.872219,0.28,336.3687495,4.751083851,68,28.08,40
"Congo, Dem. Rep.",-4.038333,21.758664,3.39,103.7758572,14.71302032,66.19999695,33.96,41
"Congo, Rep.",-0.228021,15.827659,4.46,1253.292015,9.873761177,64.19999695,61.34,42
Cook Islands,-21.236736,-159.777671,3.23,,4.373364925,,,43
Costa Rica,9.748917,-83.753428,5.81,5188.900935,6.597168,58.59999847,63.26,44
Cote d'Ivoire,7.539989,-5.54708,6.47,591.0679443,20.31793022,59.90000153,48.78,45
Croatia,45.1,15.2,15,6338.494668,14.77625,47.09999847,57.28,46
Cuba,21.521757,-77.781167,5.12,4495.046262,10.57191,56,75.66,47
Cyprus,35.126413,33.429859,8.84,15313.85935,2.206169,59.09999847,69.9,48
Czech Rep.,49.817492,15.472962,16.47,7381.312751,12.36798,56,73.5,49
Denmark,56.26392,9.501785,12.02,30532.27704,8.973104,63.09999847,86.68,50
Djibouti,11.825138,42.590275,1.87,895.3183396,4.993475914,,87.3,51
Dominica,15.414999,-61.370976,8.68,6147.77961,5.835250854,,73.92,52
Dominican Rep.,18.735693,-70.162651,6.28,4049.169629,6.519536972,52.70000076,69.02,53
Ecuador,-1.831239,-78.183406,9.43,1728.020976,8.504684448,59.70000076,65.58,54
Egypt,26.820553,30.802498,0.32,1975.551906,1.799903631,42.40000153,42.72,55
El Salvador,13.794185,-88.89653,3.99,2557.433638,7.304886,58.20000076,60.7,56
Equatorial Guinea,1.650801,10.267895,6.12,8654.536845,10.12934971,61.70000076,39.38,57
Eritrea,15.179384,39.782334,1.64,131.796207,8.913362503,64.90000153,20.72,58
Estonia,58.595272,25.013607,17.24,6238.537506,16.95924,56.5,69.46,59
Ethiopia,9.145,40.489673,4.1,220.8912479,10.07194233,80.69999695,17,60
Fiji,-16.578193,179.414413,2.76,2230.676374,3.94025898,56.40000153,52.36,62
Finland,61.92411,25.748151,13.1,27110.73159,16.23437,57.20000076,63.3,63
France,46.227638,2.213749,12.48,22878.46657,14.09153,51.20000076,77.36,64
Gabon,-0.803689,11.609444,9.46,4180.765821,7.745064735,59,85.04,66
Gambia,13.443182,-15.310139,3.58,354.5997263,6.449156761,71.69999695,56.42,67
Georgia,31.354676,34.308825,6.66,1258.762596,1.574350119,55.59999847,52.74,68
Germany,51.165691,10.451526,12.14,25306.18719,9.211085,53.5,73.64,69
Ghana,7.946527,-1.023194,3.11,358.9795398,6.288554668,65.09999847,50.02,70
Greece,39.074208,21.824312,11.01,13577.87989,2.816705,49.59999847,61,72
Grenada,12.262776,-61.604171,10.71,5330.401612,3.576478243,,30.84,74
Guatemala,15.783471,-90.230759,7.1,1860.753895,2.234896,62.70000076,48.58,77
Guinea,9.945587,-9.696645,0.79,411.5014473,7.443826199,81.5,34.44,78
Guinea-Bissau,11.803749,-15.180413,3.9,161.3171371,7.563692093,65.90000153,29.84,79
Guyana,4.860416,-58.93018,8.7,1200.652075,35.75287247,58.90000153,28.38,80
Haiti,18.971187,-72.285215,5.92,371.4241975,1.519248009,55.90000153,46.84,81
Honduras,15.199999,-86.241905,4.43,1392.411829,7.060184479,56.29999924,47.88,82
Hungary,47.162494,19.503304,16.12,5634.003948,20.16201,47.29999924,67.5,84
Iceland,64.963051,-19.020835,7.38,33945.31442,11.42618084,73.59999847,92.26,85
India,20.593684,78.96288,2.69,786.7000981,18.58382607,55.40000153,29.54,86
Indonesia,-0.789275,113.921327,0.56,1143.831514,11.39611149,61.5,51.46,87
Iran,32.427908,53.688046,1.03,2161.54651,6.021882057,47.79999924,68.46,88
Iraq,33.223191,43.679291,0.47,736.2680538,17.03264618,37.40000153,66.6,89
Ireland,53.41291,-8.24389,14.92,27595.09135,10.36507,59.90000153,61.34,90
Israel,31.046051,34.851612,2.52,22275.75166,5.931845,51.29999924,91.66,91
Italy,41.87194,12.56738,9.72,18982.26929,4.930044509,46.40000153,68.08,92
Jamaica,18.109581,-77.297508,5.17,3665.348369,4.417507172,58.20000076,53.3,93
Japan,36.204824,138.252924,7.79,39309.47886,18.94693,57.29999924,66.48,94
Jordan,30.585164,36.238414,0.65,2534.00038,0.201448724,38.90000153,78.42,95
Kazakhstan,48.019573,66.923684,11.1,2481.718918,25.4046,63.70000076,57.94,96
Kenya,-0.023559,37.906193,3.88,468.6960436,10.93771839,73.19999695,21.6,97
Kiribati,-3.370417,-168.734039,2.7,760.262365,,,43.84,98
"Korea, Rep.",42.602636,20.902977,19.15,16372.49978,22.40456,58.90000153,81.46,100
Kuwait,29.31166,47.481766,0.1,,1.498057424,65.69999695,98.36,101
Kyrgyzstan,41.20438,74.766098,4.72,372.728414,9.875281,58.90000153,36.28,102
Laos,19.85627,102.495496,6.99,554.8798401,26.21919823,78.19999695,30.88,103
Latvia,56.879635,24.603189,13.45,5011.219456,20.36959,56.79999924,68.12,104
Lebanon,33.854721,35.862285,2.3,6746.612632,5.83831501,46,86.96,105
Lesotho,-29.609988,28.233608,5.56,495.7342469,7.858619213,56.29999924,25.46,106
Liberia,6.428055,-9.429499,5.07,155.0332312,7.1848526,66,60.14,107
Libya,26.3351,17.228331,0.1,7885.468037,4.667024612,48.59999847,77.54,108
Lithuania,55.169438,23.881275,16.3,5332.238591,33.34186,53.09999847,66.96,110
Luxembourg,49.815273,6.129583,12.84,52301.58718,12.40591812,53.5,82.44,111
"Macedonia, FYR",41.608635,21.745275,8.94,2221.185664,7.876878262,34.90000153,66.9,113
Madagascar,-18.766947,46.869107,1.32,242.6775342,5.767406464,83,29.52,114
Malawi,-13.254308,34.301525,1.44,184.1417966,10.17173481,71.80000305,18.8,115
Malaysia,4.210484,101.975766,0.87,5184.709328,8.2110672,60.5,70.36,116
Mali,17.570692,-3.996166,0.99,269.8928811,8.262892723,45.70000076,32.18,118
Malta,35.937496,14.375416,4.1,11066.78414,4.551121235,46.79999924,94.26,119
Mauritania,21.00789,-10.940835,0.11,609.1312059,6.882952213,46.90000153,41,122
Mauritius,-20.348404,57.552152,3.53,5182.143721,8.08154,54.5,42.48,123
Mexico,23.634501,-102.552784,8.55,6105.280743,4.288574,57.90000153,77.2,124
"Micronesia, Fed. Sts.",7.425554,150.550812,5.25,2146.358593,4.762269974,,22.54,125
Moldova,47.411631,28.369885,23.01,595.8745345,15.53849,44.29999924,41.76,126
Mongolia,46.862496,103.846656,3.41,772.9333448,13.08961582,52.09999847,57.18,128
Morocco,31.791702,-7.09262,1.24,1844.351028,2.109413624,46.20000076,56.02,130
Mozambique,-18.665695,35.529562,2.27,389.7636343,10.55037498,77,36.84,131
Myanmar,21.913965,95.956223,0.58,,10.11499691,74.69999695,32.58,132
Namibia,-22.95764,18.49041,12.09,2667.24671,8.021969795,42,36.84,133
Nauru,-0.522778,166.931503,4.81,,4.079525471,,,134
Nepal,28.394857,84.124008,2.42,268.2594495,11.65520954,61.79999924,17.24,135
Netherlands,52.132633,5.291266,9.75,26551.84424,8.164005,61.29999924,81.82,136
New Zealand,-40.900557,174.885971,9.99,14778.16393,12.17976,65,86.56,139
Nicaragua,12.865416,-85.207229,5.21,948.355952,12.12226868,58.79999924,56.74,140
Niger,17.607789,8.081666,0.34,180.083376,9.257975578,60.40000153,16.54,141
Nigeria,9.081999,8.675277,12.72,544.5994767,7.631049633,50.90000153,48.36,142
Niue,-19.054445,-169.867233,8.69,,4.217076302,,,143
Norway,60.472024,8.468946,8.35,39972.35277,10.823,65,77.48,144
Oman,21.512583,55.923255,0.92,11191.81101,3.716739416,50.70000076,71.62,145
Pakistan,30.375321,69.345116,0.05,668.547943,12.86981487,51,36.16,146
Palau,7.51498,134.58252,9.86,6243.571318,5.554276466,,80.46,147
Panama,8.537981,-80.782127,7.3,5900.616944,6.1052819,59.79999924,73.2,148
Papua New Guinea,-6.314993,143.95555,3.64,744.2394132,11.95694065,70.40000153,12.54,149
Paraguay,-23.442503,-58.443832,7.91,1621.177078,4.409532,73.09999847,60.3,150
Peru,-9.189967,-75.015152,6.53,3180.430612,1.658907771,68.30000305,71.4,151
Philippines,12.879721,121.774017,6.08,1383.401869,1.922485113,61,64.92,152
Poland,51.919438,19.145136,14.43,6575.745044,13.63706,48.70000076,61.32,153
Portugal,39.399872,-8.224454,13.89,11744.83417,8.188375473,57.59999847,59.46,154
Qatar,25.354826,51.183884,1.29,33931.83208,2.515720844,76,95.64,156
Romania,45.943161,24.96676,16.15,2636.7878,10.05932,49.5,54.24,158
Russia,61.52401,105.318756,16.23,2923.144355,27.87416,58.79999924,72.84,159
Rwanda,-1.940278,29.873888,9.99,338.2663912,13.11794853,79.80000305,18.34,160
Saint Kitts and Nevis,17.357822,-62.782998,10.62,9175.796015,,,32.32,161
Saint Lucia,13.909444,-60.978893,12.05,5248.582321,8.21094799,,27.84,162
Saint Vincent and the Grenadines,12.984305,-61.287228,4.99,4885.046701,9.593027115,,47.04,163
Samoa,-13.759029,-172.104629,4.51,1784.071284,5.542323589,,23,164
Sao Tome and Principe,43.94236,12.457777,8.45,,10.49314976,,60.56,166
Saudi Arabia,23.885942,45.079162,0.34,9425.32587,6.401537895,51.20000076,82.42,167
Senegal,14.497401,-14.452362,0.51,561.7085848,6.81143856,65.59999847,42.38,168
Serbia,44.016521,21.005859,12.21,1194.711433,13.71634,,52.04,169
Seychelles,-4.679574,55.491977,9.48,268.3317903,11.98049736,63.79999924,37.76,172
Singapore,1.352083,103.819836,1.54,32535.83251,9.127511,62.40000153,100,173
Slovak Republic,48.669026,19.699024,13.31,8445.526689,10.64574,53.40000153,56.56,174
Slovenia,46.151241,14.995463,14.94,12729.4544,19.42261,55.90000153,48.6,175
Solomon Islands,-9.64571,160.156194,1.37,1144.102193,4.484752655,65,17.96,176
Somalia,5.152149,46.199616,0.5,,29.86416435,66,36.52,177
South Africa,-30.559482,22.937506,10.16,3745.649852,15.714571,41.09999847,60.74,178
Spain,40.463667,-3.74922,11.83,15461.75837,5.888479,52.5,77.12,179
Sri Lanka,7.873054,80.771797,0.81,1295.742686,28.10404587,55.09999847,15.1,180
Sudan,12.862807,30.217636,2.56,523.9501515,9.709555626,47.29999924,43.44,181
Suriname,3.919305,-56.027783,6.56,2668.020519,20.7474308,44.70000076,74.92,182
Swaziland,-26.522503,31.465866,5.05,1810.230533,12.87222195,50.90000153,24.94,183
Sweden,60.128161,18.643501,9.5,32292.48298,11.11583,60.70000076,84.54,184
Switzerland,46.818188,8.227512,11.41,37662.75125,13.23981,64.30000305,73.48,185
Syria,34.802075,38.996815,1.49,1525.780116,0.523527563,44.79999924,54.22,186
Tajikistan,38.861034,71.276093,3.39,279.1804526,2.648980856,54.59999847,26.46,188
Tanzania,-6.369028,34.888822,7.86,456.3857117,12.41118145,78.19999695,25.52,189
Thailand,15.870032,100.992541,7.08,2712.517199,9.847459793,72,33.32,190
Timor-Leste,-8.874217,125.727539,0.74,369.5729537,9.633114815,67.30000305,27.3,191
Togo,8.619543,0.824782,1.92,285.2244493,6.369887829,63.90000153,42,192
Tonga,-21.178986,-175.198242,3.92,2025.282665,4.527851582,,24.78,193
Trinidad and Tobago,10.691803,-61.222503,6.16,10480.8172,14.54716682,61.5,13.22,194
Tunisia,33.886917,9.537499,1.05,3164.927693,3.146814108,41.59999847,66.5,195
Turkey,38.963745,35.243322,3.02,5348.597192,3.56332469,42.79999924,68.68,196
Turkmenistan,38.969719,59.556278,5,2062.125152,12.21676922,58.5,48.62,197
Tuvalu,-7.109535,177.64933,2.14,1714.94289,7.934811592,,,198
Uganda,1.373333,32.290275,16.4,377.4211133,12.28912163,83.19999695,12.98,199
Ukraine,48.379433,31.16558,17.47,1036.830725,18.95457,54.40000153,67.98,200
United Arab Emirates,23.424076,53.847818,0.52,21087.39412,1.392950654,75.19999695,77.88,201
United Kingdom,55.378051,-3.435973,13.24,28033.48928,6.014659,59.29999924,89.94,202
United States,37.09024,-95.712891,9.7,37491.17952,9.927033,62.29999924,81.7,203
Uruguay,-32.522779,-55.765835,8.99,9106.327234,14.53727,57.5,92.3,204
Uzbekistan,41.377491,64.585262,3.61,952.8272608,5.21372,57.5,36.82,205
Vanuatu,-15.376706,166.959158,0.96,1543.956457,4.983421803,,24.76,206
Venezuela,6.42375,-66.58973,7.6,5528.363114,4.11962,59.90000153,93.32,207
Vietnam,14.058324,108.277199,3.91,722.8075588,11.65332222,71,27.84,208
"Yemen, Rep.",15.552727,48.516388,0.2,610.3573673,6.265789032,39,30.64,210
Zambia,-13.133897,27.849332,3.56,432.226337,12.01903629,61,35.42,211
Zimbabwe,-19.015438,29.154857,4.96,320.7718899,13.90526676,66.80000305,37.34,212